,user_id,funnel_stage,timestamp,profit,os
121,866112,interest,150009,,Android
211,634356,interest,150014,,iOS
1561,160340,interest,150030,,Android
2086,1004246,interest,150036,,Android
2969,897963,interest,150048,,Android
5466,245361,interest,150068,,iOS
6127,215360,interest,150075,,Android
7102,937884,interest,150105,,iOS
7877,933293,consideration,150125,,iOS
8533,866028,interest,150136,,iOS
9187,449327,interest,150145,,Android
10198,826248,interest,150147,,iOS
11652,617578,interest,150165,,iOS
13622,607721,interest,150192,,Android
14487,907968,interest,150217,,iOS
15806,31714,interest,150236,,Android
16418,855914,interest,150239,,Android
16528,478704,interest,150241,,iOS
20871,847284,interest,150286,,Android
20876,308000,interest,150286,,Android
22981,607721,consideration,150316,,Android
22992,731982,interest,150317,,iOS
26010,476675,interest,150334,,iOS
26047,607522,consideration,150337,,iOS
27399,837169,interest,150356,,Android
27517,935749,interest,150365,,iOS
27519,431052,interest,150365,,Android
27549,582328,interest,150367,,Android
27559,782056,interest,150368,,Android
30023,757401,interest,150384,,Android
30324,560563,interest,150405,,Android
30358,383074,interest,150407,,Android
30391,932349,interest,150409,,iOS
30422,694266,interest,150411,,Android
31462,695254,interest,150440,,Android
33167,907154,interest,150474,,Android
33757,272441,interest,150480,,Android
33763,1048092,interest,150480,,Android
35058,209777,interest,150496,,iOS
37127,637364,interest,150521,,Android
37279,619312,intent,150532,,Android
37293,640359,interest,150532,,iOS
37346,675085,interest,150536,,iOS
38026,895065,interest,150541,,iOS
38051,657434,interest,150542,,Android
39916,215360,consideration,150554,,Android
39932,890808,interest,150556,,iOS
40527,653499,interest,150561,,Android
40642,304142,interest,150568,,iOS
44895,1037321,interest,150597,,iOS
45575,1038019,interest,150605,,Android
46808,380048,interest,150648,,Android
46907,1014993,interest,150651,,Android
48602,459286,interest,150654,,iOS
51419,629756,interest,150694,,iOS
52445,903824,interest,150705,,Android
54088,970998,interest,150731,,Android
54295,771935,interest,150732,,iOS
56836,786519,interest,150757,,Android
57578,897963,consideration,150767,,iOS
57631,640359,consideration,150770,,iOS
57771,855914,consideration,150779,,Android
60218,621487,interest,150787,,iOS
62952,837169,consideration,150810,,Android
63355,262929,interest,150812,,iOS
64168,935301,interest,150815,,Android
67235,1037102,interest,150833,,Android
67282,937884,consideration,150835,,iOS
67292,771935,consideration,150835,,iOS
69910,1037321,consideration,150856,,Android
70638,935749,consideration,150867,,Android
71564,866459,interest,150875,,Android
71972,637364,consideration,150881,,Android
72617,975112,interest,150889,,Android
72641,826248,consideration,150889,,Android
74606,877131,interest,150906,,iOS
75290,433477,interest,150917,,iOS
76956,817767,interest,150945,,Android
77554,410970,interest,150949,,Android
77660,907968,consideration,150954,,iOS
77663,160340,consideration,150955,,Android
80833,951889,interest,150977,,Android
80856,968749,interest,150978,,iOS
80905,629756,consideration,150981,,Android
82257,466309,interest,150991,,iOS
83999,956178,interest,151000,,iOS
85116,1038019,consideration,151031,,iOS
86163,991235,consideration,151054,,Android
86230,580700,interest,151058,,Android
87017,821610,consideration,151069,,Android
92370,877131,consideration,151094,,iOS
92633,890506,interest,151102,,iOS
93133,967300,interest,151106,,Android
93207,85481,interest,151110,,Android
93279,209777,consideration,151115,,Android
93456,757401,consideration,151125,,Android
93576,706333,interest,151131,,Android
93635,406085,interest,151134,,Android
93831,694266,consideration,151142,,iOS
95218,114896,interest,151155,,Android
95727,1056823,interest,151161,,Android
96066,1033108,intent,151170,,Android
96210,687139,interest,151177,,iOS
96941,805016,interest,151189,,iOS
98188,903824,consideration,151201,,iOS
99522,17503,interest,151214,,iOS
99660,731982,consideration,151221,,iOS
101729,695254,consideration,151241,,iOS
102355,551395,interest,151248,,iOS
105641,596230,interest,151276,,Android
106407,847768,intent,151284,,Android
106413,1050465,interest,151285,,Android
108991,744019,interest,151305,,Android
111538,598591,interest,151326,,iOS
111594,688359,interest,151329,,Android
112329,783883,interest,151339,,iOS
112330,566556,interest,151339,,Android
113123,422738,interest,151350,,Android
113913,543779,interest,151364,,iOS
114618,193454,interest,151370,,iOS
114707,925377,interest,151375,,iOS
115479,289339,interest,151385,,Android
115516,934153,interest,151387,,iOS
115535,907968,intent,151387,,Android
115540,1024620,interest,151388,,Android
117959,934340,interest,151402,,Android
121769,720148,interest,151451,,Android
124230,792496,interest,151469,,Android
124918,958973,interest,151476,,iOS
124927,558783,interest,151476,,Android
126280,1037102,consideration,151489,,iOS
126295,551395,consideration,151490,,Android
126342,991206,interest,151493,,Android
126974,801879,interest,151497,,Android
128249,956178,consideration,151507,,iOS
129273,620360,interest,151533,,iOS
129331,970998,consideration,151537,,Android
129334,406085,consideration,151537,,iOS
130017,493843,interest,151543,,iOS
132955,745340,interest,151581,,Android
132961,262929,consideration,151582,,iOS
132964,289339,consideration,151582,,Android
133162,865131,interest,151592,,iOS
135642,1006421,interest,151605,,Android
136775,654028,interest,151608,,Android
136796,950037,interest,151609,,Android
136834,92309,interest,151611,,iOS
137442,991206,consideration,151614,,iOS
138058,212638,interest,151618,,iOS
138421,193454,consideration,151625,,Android
140522,1014993,consideration,151632,,Android
140586,925377,consideration,151635,,Android
141650,589887,interest,151659,,Android
141657,666977,interest,151659,,iOS
143058,826248,intent,151678,,iOS
145809,519468,interest,151732,,iOS
